GlobalFacilityID,MonthYear,PatientVolume
2494,11/1/2019,1331
3326,11/1/2019,1554
6289,11/1/2019,1882
5360,11/1/2019,621
2513,11/1/2019,3038
5645,11/1/2019,1919
2392,11/1/2019,973
4502,11/1/2019,981
2461,11/1/2019,1729
298263,11/1/2019,82
485492,11/1/2019,754
2474,11/1/2019,4782
1820,11/1/2019,1918
6105,11/1/2019,1002
205052,11/1/2019,2925
483471,11/1/2019,2331
2312,11/1/2019,858
5634,11/1/2019,4199
9078,11/1/2019,2024
249,11/1/2019,3711
488965,11/1/2019,683
42,11/1/2019,3002
183768,11/1/2019,768
2498,11/1/2019,987
1113,11/1/2019,2148
2562,11/1/2019,6060
2569,11/1/2019,1561
489108,11/1/2019,2136
4135,11/1/2019,2192
130573,11/1/2019,2001
1208,11/1/2019,3485
1648,11/1/2019,1952
6513,11/1/2019,950
2602,11/1/2019,3026
187,11/1/2019,1526
476742,11/1/2019,1606
3392,11/1/2019,4831
8517,11/1/2019,4958
6475,11/1/2019,312
2518,11/1/2019,2820
478085,11/1/2019,2160
488636,11/1/2019,717
489792,11/1/2019,54
6108,11/1/2019,1083
458223,11/1/2019,143
489595,11/1/2019,407
3652,11/1/2019,503
2491,11/1/2019,2167
1676,11/1/2019,2172
5886,11/1/2019,2857
486737,11/1/2019,1346
2609,11/1/2019,4451
1499,11/1/2019,2700
2423,11/1/2019,1483
475747,11/1/2019,5283
323420,11/1/2019,4335
480170,11/1/2019,593
2361,11/1/2019,2412
469582,11/1/2019,3439
9961,11/1/2019,3140
3333,11/1/2019,985
21,11/1/2019,1322
3657,11/1/2019,1704
435704,11/1/2019,842
4525,11/1/2019,3213
488495,11/1/2019,929
2563,11/1/2019,4281
1198,11/1/2019,1543
1491,11/1/2019,2314
6295,11/1/2019,1409
2557,11/1/2019,1234
1240,11/1/2019,4355
255703,11/1/2019,1194
478082,11/1/2019,1993
2598,11/1/2019,2089
489789,11/1/2019,208
475749,11/1/2019,1860
483465,11/1/2019,75
120936,11/1/2019,265
6075,11/1/2019,2181
5187,11/1/2019,991
36,11/1/2019,647
72395,11/1/2019,1807
482995,11/1/2019,4498
1453,11/1/2019,765
6114,11/1/2019,1217
3407,11/1/2019,4958
183,11/1/2019,356
487798,11/1/2019,1569
490140,11/1/2019,109
3665,11/1/2019,2260
5483,11/1/2019,579
469600,11/1/2019,1568
2439,11/1/2019,1549
200276,11/1/2019,505
1422,11/1/2019,743
8,11/1/2019,613
461391,11/1/2019,1670
416680,11/1/2019,599
5433,11/1/2019,1540
4594,11/1/2019,277
484309,11/1/2019,1393
213,11/1/2019,2542
11420,11/1/2019,4350
226558,11/1/2019,84
45,11/1/2019,1019
488739,11/1/2019,2508
2392,12/1/2019,1044
2461,12/1/2019,1764
298263,12/1/2019,57
2474,12/1/2019,4854
1820,12/1/2019,1980
205052,12/1/2019,3083
1097,12/1/2019,4486
485492,12/1/2019,928
29,12/1/2019,2039
469600,12/1/2019,1747
9078,12/1/2019,2167
249,12/1/2019,3702
2491,12/1/2019,2097
1676,12/1/2019,2358
488965,12/1/2019,1048
42,12/1/2019,3470
484309,12/1/2019,1478
2498,12/1/2019,1093
11420,12/1/2019,4789
1113,12/1/2019,2373
323420,12/1/2019,4788
469582,12/1/2019,3837
2562,12/1/2019,5678
2609,12/1/2019,4630
489108,12/1/2019,2461
2569,12/1/2019,1287
4135,12/1/2019,2163
3657,12/1/2019,1841
130573,12/1/2019,2303
2602,12/1/2019,3085
1208,12/1/2019,3851
1648,12/1/2019,2394
476742,12/1/2019,1437
187,12/1/2019,1653
4502,12/1/2019,1124
3392,12/1/2019,5538
6475,12/1/2019,362
2518,12/1/2019,2839
8517,12/1/2019,5401
478085,12/1/2019,2600
488636,12/1/2019,611
489792,12/1/2019,82
6105,12/1/2019,1111
6108,12/1/2019,1275
2312,12/1/2019,1046
458223,12/1/2019,178
489595,12/1/2019,1345
3652,12/1/2019,559
2423,12/1/2019,1648
5886,12/1/2019,3193
1499,12/1/2019,2922
486737,12/1/2019,1429
183768,12/1/2019,890
475747,12/1/2019,5157
480170,12/1/2019,625
9961,12/1/2019,3612
2361,12/1/2019,2505
3333,12/1/2019,1119
21,12/1/2019,1130
4525,12/1/2019,3603
435704,12/1/2019,947
488495,12/1/2019,1191
2563,12/1/2019,4215
6068,12/1/2019,2727
2557,12/1/2019,1167
6295,12/1/2019,1890
1240,12/1/2019,4799
255703,12/1/2019,1166
2598,12/1/2019,1906
478082,12/1/2019,2250
489789,12/1/2019,287
1198,12/1/2019,1730
475749,12/1/2019,2045
6075,12/1/2019,2260
416680,12/1/2019,608
483465,12/1/2019,92
120936,12/1/2019,300
36,12/1/2019,641
5187,12/1/2019,1236
72395,12/1/2019,2221
482995,12/1/2019,5089
1453,12/1/2019,862
6114,12/1/2019,1384
3407,12/1/2019,5401
183,12/1/2019,374
2541,12/1/2019,3118
6487,12/1/2019,1683
1491,12/1/2019,2819
487798,12/1/2019,1957
490140,12/1/2019,162
5483,12/1/2019,709
3665,12/1/2019,2433
4451,12/1/2019,2239
483471,12/1/2019,2446
2439,12/1/2019,1646
200276,12/1/2019,559
1422,12/1/2019,771
5433,12/1/2019,1694
226558,12/1/2019,64
461391,12/1/2019,1831
4594,12/1/2019,280
6132,12/1/2019,1472
213,12/1/2019,2702
488739,12/1/2019,2593
45,12/1/2019,899
5539,12/1/2019,4670
374941,12/1/2019,2366
281717,12/1/2019,1727
488693,12/1/2019,398
3458,12/1/2019,614
5359,12/1/2019,1943
5743,12/1/2019,620
12,12/1/2019,1317
3412,12/1/2019,1055
2402,12/1/2019,2296
2492,12/1/2019,1524
2390,12/1/2019,663
6702,12/1/2019,2127
483412,12/1/2019,121
2497,12/1/2019,678
5381,12/1/2019,2524
484584,12/1/2019,2536
490373,12/1/2019,128
475751,12/1/2019,5388
490124,12/1/2019,991
9160,12/1/2019,972
7560,12/1/2019,1221
2341,12/1/2019,539
404452,12/1/2019,3660
346,12/1/2019,2537
6149,12/1/2019,4118
182,12/1/2019,1328
5572,12/1/2019,1690
3382,12/1/2019,987
99359,12/1/2019,6837
59237,12/1/2019,2502
1502,12/1/2019,449
5568,12/1/2019,2636
74,12/1/2019,2458
5813,12/1/2019,2330
364889,12/1/2019,151
488639,12/1/2019,1744
475746,12/1/2019,658
41,12/1/2019,707
2424,12/1/2019,1456
3400,12/1/2019,1624
245,12/1/2019,2009
4215,12/1/2019,1844
692,12/1/2019,619
488772,12/1/2019,560
7150,12/1/2019,2202
2536,12/1/2019,4065
487800,12/1/2019,1321
351095,12/1/2019,1120
458224,12/1/2019,261
328376,12/1/2019,1906
2451,12/1/2019,1797
486844,12/1/2019,363
3580,12/1/2019,2582
487747,12/1/2019,661
80,12/1/2019,2340
487006,12/1/2019,2471
1457,12/1/2019,2668
2515,12/1/2019,2694
5439,12/1/2019,1534
488496,12/1/2019,1300
4524,12/1/2019,645
3377,12/1/2019,1821
2464,12/1/2019,284
1890,12/1/2019,444
489202,12/1/2019,1618
7198,12/1/2019,2893
8407,12/1/2019,19
6513,12/1/2019,1034
168435,12/1/2019,1496
488614,12/1/2019,1292
251935,12/1/2019,366
484546,12/1/2019,250
4044,12/1/2019,446
2586,12/1/2019,2251
395470,12/1/2019,1653
1406,12/1/2019,4999
3434,12/1/2019,3724
2366,12/1/2019,792
2534,12/1/2019,4025
484365,12/1/2019,62
1246,12/1/2019,3726
1523,12/1/2019,2729
4904,12/1/2019,857
3035,12/1/2019,1267
6182,12/1/2019,560
10876,12/1/2019,2614
1163,12/1/2019,3273
416735,12/1/2019,2572
488637,12/1/2019,751
1428,12/1/2019,2179
488546,12/1/2019,2675
272550,12/1/2019,5837
5719,12/1/2019,3423
2364,12/1/2019,676
5819,12/1/2019,2368
6124,12/1/2019,1828
217368,12/1/2019,478
4218,12/1/2019,852
5377,12/1/2019,3234
30588,12/1/2019,1998
1441,12/1/2019,2367
475750,12/1/2019,1878
50,12/1/2019,2287
5634,12/1/2019,4324
490006,12/1/2019,45
227520,12/1/2019,1201
3559,12/1/2019,795
475748,12/1/2019,920
10267,12/1/2019,1531
2572,12/1/2019,3315
1463,12/1/2019,5931
8,12/1/2019,571
3386,12/1/2019,864
2590,12/1/2019,4223
3314,12/1/2019,2666
484360,12/1/2019,3
489726,12/1/2019,575
302425,12/1/2019,465
2494,12/1/2019,1299
3326,12/1/2019,1679
6289,12/1/2019,1554
5360,12/1/2019,737
2513,12/1/2019,2881
5645,12/1/2019,2260
2366,1/1/2020,771
2439,1/1/2020,1493
458223,1/1/2020,148
6295,1/1/2020,1534
3665,1/1/2020,2592
2598,1/1/2020,1862
461391,1/1/2020,1901
5433,1/1/2020,1683
2361,1/1/2020,2744
1406,1/1/2020,4805
1097,1/1/2020,4676
29,1/1/2020,1966
4524,1/1/2020,647
3333,1/1/2020,989
36,1/1/2020,607
72395,1/1/2020,2004
130573,1/1/2020,2261
480170,1/1/2020,749
2602,1/1/2020,3176
476742,1/1/2020,1770
1491,1/1/2020,2483
475747,1/1/2020,5737
435704,1/1/2020,953
3407,1/1/2020,5524
1648,1/1/2020,2207
488495,1/1/2020,1089
1240,1/1/2020,5101
5483,1/1/2020,709
1198,1/1/2020,1723
4135,1/1/2020,2325
489792,1/1/2020,69
3657,1/1/2020,1894
2557,1/1/2020,1129
200276,1/1/2020,626
2336,1/1/2020,1656
395470,1/1/2020,1936
3314,1/1/2020,2509
11420,1/1/2020,4695
484309,1/1/2020,1766
213,1/1/2020,2751
2494,1/1/2020,1318
469600,1/1/2020,1865
45,1/1/2020,844
6114,1/1/2020,1493
483465,1/1/2020,80
302425,1/1/2020,463
482995,1/1/2020,5514
1453,1/1/2020,842
4904,1/1/2020,936
488637,1/1/2020,786
488614,1/1/2020,1220
475749,1/1/2020,2537
2474,1/1/2020,5016
251935,1/1/2020,353
30588,1/1/2020,2002
489202,1/1/2020,2028
6149,1/1/2020,4154
2390,1/1/2020,711
488772,1/1/2020,476
6702,1/1/2020,2145
6132,1/1/2020,1470
6487,1/1/2020,1805
1422,1/1/2020,739
249,1/1/2020,3711
2515,1/1/2020,2858
2498,1/1/2020,1016
487747,1/1/2020,642
80,1/1/2020,2341
226558,1/1/2020,62
5439,1/1/2020,1366
2569,1/1/2020,1274
4594,1/1/2020,314
364889,1/1/2020,124
488693,1/1/2020,471
374941,1/1/2020,2550
74,1/1/2020,2356
